work_A,work_B,jaccardSimilarity
26686,36905,0.23578899499772624
26686,46184,0.2213192612137203
26686,47311,0.15308514896780465
26686,52912,0.22581387323133556
26686,5323,0.219134918361501
26686,53628,0.19602074785166834
26686,75277,0.20188069350573024
26686,10353,0.09213830403708712
26686,10354,0.1068568079703067
26686,10425,0.18820616003714596
26686,10426,0.17412935323383086
26686,10428,0.187751677852349
26686,17657,0.17531534408430466
26686,17664,0.19079539769884943
26686,18101,0.10055966781007403
26686,2054,0.15963806753918242
26686,21000,0.18852147472443936
26686,2146,0.2037224065791372
26686,2228,0.2025772481640571
26686,2229,0.18031746031746032
26686,2230,0.16346059955082512
26686,2312,0.1959018938217945
26686,2319,0.16714244932914646
26686,2320,0.15037462972643317
26686,2321,0.19023833309547594
26686,2335,0.20467234792829855
26686,2336,0.2118568894145476
26686,2337,0.19708255741775293
26686,2338,0.2107367218732153
26686,2339,0.206307102858827
26686,2340,0.19316952557564518
26686,2341,0.206546795758414
26686,2342,0.210989010989011
26686,2402,0.18421463110279207
26686,2403,0.19940689232027814
26686,2404,0.16698148847752173
26686,2405,0.18736922198972797
26686,2406,0.11317799099275504
26686,2407,0.19065420560747665
26686,2408,0.2055733211512106
26686,2409,0.2132135681361541
26686,2410,0.1956813604833296
26686,2411,0.19707483719440588
26686,2420,0.1746031746031746
26686,312160,0.14937266870125465
26686,34059,0.040268456375838924
26686,46021,0.17643271088216356
26686,48148,0.20204168438962145
26686,48919,0.19568184638292593
26686,49024,0.16389021101062987
26686,49593,0.1719640179910045
26686,5325,0.1178951228456179
26686,5326,0.13862397820163488
26686,5653,0.15291175419792782
26686,7875,0.11791507198833606
26686,9260,0.0673865226954609
26686,24249,0.18401655243760506
26686,3498,0.16214565004887585
26686,39792,0.015031315240083507
26686,45600,0.16003398951989803
26686,5607,0.1590428491930996
26686,6079,0.1637462235649547
26686,17622,0.2144721577726218
26686,2499,0.19783479163577042
26686,41051,0.2027563395810364
26686,41818,0.19498276067055048
26686,41907,0.2141125430649483
26686,42311,0.17481146304675715
26686,42338,0.19702238643773093
26686,46135,0.11068211068211069
26686,47818,0.2033898305084746
26686,49908,0.20035424046676392
26686,55321,0.20698590381426202
26686,60437,0.2016750096264921
26686,61266,0.21717731020056602
26686,64449,0.1900545785324439
26686,64466,0.20614784093681385
26686,64513,0.18401486988847585
26686,64522,0.20735694822888284
26686,64525,0.1938210030479357
26686,75802,0.19114035949317357
26686,79173,0.19368899838908368
26686,22492,0.1428680164408586
26686,22659,0.06343577620173364
26686,22761,0.08040027605244997
26686,24746,0.14426585915055518
26686,28280,0.1471315911550951
26686,38638,0.14347463410935013
26686,16304,0.16521739130434782
26686,21593,0.11912653538701501
26686,21989,0.18178923909582936
26686,22367,0.20173326913818007
26686,23532,0.13799516458992003
26686,25791,0.16063469424139776
26686,30570,0.013044393014937934
26686,30655,0.10289264220539701
26686,30753,0.03907380607814761
26686,38395,0.1262905604719764
26686,69327,0.2092010824802918
26686,30821,0.08276266875366856
26686,36076,0.1546360616128058
26686,38295,0.14046822742474915
26686,38754,0.09992500937382827
26686,38755,0.07180487804878048
26686,41197,0.15363128491620112
26686,46873,0.12904696762425902
26686,49543,0.15933442581621077
26686,55925,0.16130047194546407
26686,56182,0.1605881012081149
26686,6342,0.15030541012216406
26686,6343,0.15040085515766968
26686,10055,0.13474194665742986
26686,6820,0.027072053311120368
26686,6822,0.13293103448275861
26686,6831,0.10726770929162834
26686,6889,0.12099137570124759
26686,9108,0.17625356364246184
26686,9110,0.14343360234776228
26686,9157,0.18280600830936403
26686,9158,0.13584288052373159
26686,9159,0.12138400453771979
26686,9160,0.11146737080347038
26686,9186,0.19412921773339387
26686,9187,0.17913975106349456
26686,9325,0.17560568086883876
26686,9326,0.09410166860690726
26686,9369,0.1737751704455367
26686,9375,0.12956441149212233
26686,9950,0.13833110218652386
26686,31218,0.19092354386472032
26686,33328,0.09387986399697772
26686,33329,0.133687808583365
26686,35264,0.2074774034511093
26686,38126,0.1822706065318818
26686,43335,0.13462240058372857
26686,44174,0.19919299281566774
26686,45123,0.19012965286491007
26686,45635,0.16106804478897502
26686,46157,0.1722689075630252
26686,46987,0.20759727514143864
26686,2188,0.20882385300913192
26686,24043,0.08553809429082952
26686,24288,0.15882831570382425
26686,27822,0.21192859074925616
26686,31199,0.17249293785310735
26686,33863,0.14759725400457666
26686,33864,0.1554792382141742
26686,34521,0.1636095643629217
26686,38402,0.22556843848817948
26686,40117,0.08334983171649178
26686,45579,0.17616948670553106
26686,312161,0.14937266870125465
26686,47804,0.17993940705475006
26686,6383,0.16806603102319626
26686,6496,0.17928994082840236
26686,6498,0.20288278487897743
26686,6499,0.19711414583870138
26686,6503,0.15335521517140774
26686,6504,0.18442346594740391
26686,6505,0.18360756573888976
26686,6518,0.16926613035626334
26686,6525,0.19150499706055263
26686,6549,0.18870224871308588
26686,6649,0.1307383487519637
26686,77182,0.18527315914489312
26686,7939,0.06379585326953748
26686,20977,0.11955676516329705
26686,24212,0.08508914100486224
26686,24213,0.08318264014466546
26686,24214,0.16651616398771898
26686,6651,0.16764444444444446
26686,74008,0.1950260119274204
26686,8889,0.18743947987273482
26686,8895,0.19670396129422438
26686,8915,0.14554076235637425
26686,8916,0.13704846614630606
26686,8917,0.07861386138613861
26686,8919,0.19121287128712872
26686,8921,0.18971603990790484
26686,8922,0.1556108838698204
26686,8923,0.1476679272465334
26686,8925,0.1429606812828411
26686,8926,0.18260135135135136
26686,8927,0.17691001697792869
26686,30165,0.21266199277671552
26686,64417,0.20967102655568767
26686,64482,0.21373964748354216
26686,64718,0.19700839109813936
26686,64869,0.18997821350762528
26686,65089,0.19431321084864392
26686,65212,0.19452512983012057
26686,65346,0.21240182862501467
26686,65648,0.220494779845665
26686,66437,0.1883098722848886
26686,66673,0.18848067355530043
26686,66904,0.20759493670886076
26686,66952,0.21684305336635892
26686,2187,0.17467422659902518
26686,2313,0.17552796349357955
26686,2314,0.176134490715306
26686,46580,0.18143582306018854
36905,46184,0.2395357686453577
36905,47311,0.18972158027952019
36905,52912,0.2501547987616099
36905,5323,0.24505513740591633
36905,53628,0.22781408859840233
36905,75277,0.23353401024350795
36905,10353,0.07692307692307693
36905,10354,0.09297330469469162
36905,10425,0.19007295466388743
36905,10426,0.18406593406593408
36905,10428,0.1688116100766703
36905,17657,0.1691634628132043
36905,17664,0.21245122061893093
36905,18101,0.09637155297532655
36905,2054,0.15704140426102103
36905,21000,0.18329694323144105
36905,2146,0.20066152149944874
36905,2228,0.1969535954658165
36905,2229,0.18061045234958278
36905,2230,0.18156918183424633
36905,2312,0.1852522639068564
36905,2319,0.1712861658157063
36905,2320,0.138739756993501
36905,2321,0.17580703228129124
36905,2335,0.20456529874017712
36905,2336,0.20627186406796602
36905,2337,0.18931535269709543
36905,2338,0.2107699805068226
36905,2339,0.20685771492929544
36905,2340,0.19347289039136653
36905,2341,0.20739299610894943
36905,2342,0.2226585743186957
36905,2402,0.1715210355987055
36905,2403,0.22955710955710956
36905,2404,0.19531857718690332
36905,2405,0.20825028165352283
36905,2406,0.09337211082198071
36905,2407,0.18299974005718742
36905,2408,0.1962485645017226
36905,2409,0.2297283121787475
36905,2410,0.22256895510368432
36905,2411,0.22602805999032413
36905,2420,0.17153996101364521
36905,312160,0.14577827236055085
36905,34059,0.0362842517314062
36905,46021,0.20096097108657168
36905,48148,0.20377998546159437
36905,48919,0.2103425703687541
36905,49024,0.1627660981092159
36905,49593,0.16578682755153343
36905,5325,0.10842136150234742
